L_kpc	mDM_GeV	R_GV	flux
1	9.6293012	2.65569845e-01	0.00000000e+00
1	9.6293012	2.70345730e-01	0.00000000e+00
1	9.6293012	2.75207502e-01	0.00000000e+00
1	9.6293012	2.80156706e-01	0.00000000e+00
1	9.6293012	2.85194914e-01	0.00000000e+00
1	9.6293012	2.90323726e-01	0.00000000e+00
1	9.6293012	2.95544773e-01	0.00000000e+00
1	9.6293012	3.00859713e-01	0.00000000e+00
1	9.6293012	3.06270234e-01	0.00000000e+00
1	9.6293012	3.11778056e-01	0.00000000e+00
1	9.6293012	3.17384927e-01	0.00000000e+00
1	9.6293012	3.23092630e-01	0.00000000e+00
1	9.6293012	3.28902978e-01	0.00000000e+00
1	9.6293012	3.34817816e-01	0.00000000e+00
1	9.6293012	3.40839024e-01	0.00000000e+00
1	9.6293012	3.46968515e-01	0.00000000e+00
1	9.6293012	3.53208235e-01	0.00000000e+00
1	9.6293012	3.59560168e-01	0.00000000e+00
1	9.6293012	3.66026331e-01	0.00000000e+00
1	9.6293012	3.72608778e-01	0.00000000e+00
1	9.6293012	3.79309601e-01	0.00000000e+00
1	9.6293012	3.86130928e-01	0.00000000e+00
1	9.6293012	3.93074927e-01	0.00000000e+00
1	9.6293012	4.00143804e-01	0.00000000e+00
1	9.6293012	4.07339804e-01	0.00000000e+00
1	9.6293012	4.14665214e-01	0.00000000e+00
1	9.6293012	4.22122360e-01	0.00000000e+00
1	9.6293012	4.29713613e-01	0.00000000e+00
1	9.6293012	4.37441382e-01	0.00000000e+00
1	9.6293012	4.45308125e-01	0.00000000e+00
1	9.6293012	4.53316339e-01	0.00000000e+00
1	9.6293012	4.61468569e-01	0.00000000e+00
1	9.6293012	4.69767406e-01	0.00000000e+00
1	9.6293012	4.78215484e-01	0.00000000e+00
1	9.6293012	4.86815489e-01	0.00000000e+00
1	9.6293012	4.95570152e-01	0.00000000e+00
1	9.6293012	5.04482256e-01	0.00000000e+00
1	9.6293012	5.13554630e-01	0.00000000e+00
1	9.6293012	5.22790158e-01	0.00000000e+00
1	9.6293012	5.32191773e-01	0.00000000e+00
1	9.6293012	5.41762462e-01	0.00000000e+00
1	9.6293012	5.51505266e-01	0.00000000e+00
1	9.6293012	5.61423281e-01	0.00000000e+00
1	9.6293012	5.71519656e-01	0.00000000e+00
1	9.6293012	5.81797600e-01	0.00000000e+00
1	9.6293012	5.92260377e-01	0.00000000e+00
1	9.6293012	6.02911312e-01	0.00000000e+00
1	9.6293012	6.13753789e-01	0.00000000e+00
1	9.6293012	6.24791252e-01	0.00000000e+00
1	9.6293012	6.36027207e-01	0.00000000e+00
1	9.6293012	6.47465225e-01	0.00000000e+00
1	9.6293012	6.59108938e-01	0.00000000e+00
1	9.6293012	6.70962047e-01	0.00000000e+00
1	9.6293012	6.83028317e-01	0.00000000e+00
1	9.6293012	6.95311580e-01	0.00000000e+00
1	9.6293012	7.07815740e-01	0.00000000e+00
1	9.6293012	7.20544769e-01	0.00000000e+00
1	9.6293012	7.33502712e-01	0.00000000e+00
1	9.6293012	7.46693683e-01	0.00000000e+00
1	9.6293012	7.60121875e-01	0.00000000e+00
1	9.6293012	7.73791554e-01	0.00000000e+00
1	9.6293012	7.87707061e-01	0.00000000e+00
1	9.6293012	8.01872819e-01	0.00000000e+00
1	9.6293012	8.16293327e-01	0.00000000e+00
1	9.6293012	8.30973166e-01	0.00000000e+00
1	9.6293012	8.45917001e-01	0.00000000e+00
1	9.6293012	8.61129579e-01	0.00000000e+00
1	9.6293012	8.76615733e-01	0.00000000e+00
1	9.6293012	8.92380383e-01	0.00000000e+00
1	9.6293012	9.08428537e-01	0.00000000e+00
1	9.6293012	9.24765293e-01	0.00000000e+00
1	9.6293012	9.41395842e-01	0.00000000e+00
